date,open,high,low,close,volume,quote_volume,trades,taker_buy_volume,taker_buy_quote,coin
2025-03-19,82715.03,87000.0,82547.16,86845.94,28151.05374,2375813941.9437623,3774761,13804.24847,1166238970.2811463,Bitcoin
2025-03-19,1931.54,2069.9,1927.58,2056.06,691809.5034,1385193898.481618,2614680,338168.3696,677189954.2620311,Ethereum
2025-03-20,86845.93,87453.67,83655.23,84223.39,22090.30463,1885241921.155652,3252595,10163.59262,867440339.2962606,Bitcoin
2025-03-20,2056.05,2067.9,1952.17,1983.79,401518.9282,800851703.9375689,1885019,185718.3372,370117787.1314191,Ethereum
2025-03-21,84223.38,84850.33,83175.25,84088.79,11956.97443,1005135519.2560016,2360005,5466.41961,459501348.0817583,Bitcoin
2025-03-21,1983.79,1996.73,1937.1,1965.75,262641.659,516587945.858554,1470569,130673.0391,256964902.673041,Ethereum
2025-03-22,84088.79,84539.17,83625.1,83840.59,5420.22114,456235443.8016521,864481,2284.19178,192291026.7874248,Bitcoin
2025-03-22,1965.74,2006.61,1964.34,1980.69,170782.9574,339679365.319319,833146,83417.243,165949750.564435,Ethereum
2025-03-23,83840.59,86129.64,83809.75,86082.5,8461.97813,718692319.1499039,1206533,4424.81013,376007261.5213597,Bitcoin
2025-03-23,1980.68,2020.74,1976.81,2005.99,268707.5233,537810044.752251,973880,141545.4057,283218620.576171,Ethereum
2025-03-24,86082.5,88765.43,85519.09,87498.16,30115.62111,2636765917.951844,2916713,14379.95578,1258638667.112904,Bitcoin
2025-03-24,2005.99,2104.11,1977.67,2081.2,477912.8154,985984215.594533,1804046,241987.6758,499157615.491606,Ethereum
2025-03-25,87498.16,88539.63,86310.0,87392.87,22643.25248,1979571590.8982933,2802815,9440.56294,825308072.6337814,Bitcoin
2025-03-25,2081.2,2097.7,2037.08,2066.15,328765.3292,678919919.780749,1398034,144848.2928,299282311.765827,Ethereum
2025-03-26,87392.88,88275.0,85860.0,86909.17,18408.78485,1606406955.5864632,2380154,8590.97753,749604853.2968135,Bitcoin
2025-03-26,2066.16,2079.21,1981.6,2009.52,428975.3286,872757205.466645,1468474,181445.0723,369125581.32051104,Ethereum
2025-03-27,86909.17,87756.39,85800.0,87232.01,17098.03897,1487968807.7079022,2376381,8185.05517,712324893.2889168,Bitcoin
2025-03-27,2009.52,2037.38,1987.06,2003.66,360634.8383,726385594.534751,1394730,154040.2327,310291637.030968,Ethereum
2025-03-28,87232.01,87515.67,83585.0,84424.38,27182.73169,2309946560.664113,3236085,11274.83736,958523321.8112732,Bitcoin
2025-03-28,2003.67,2015.93,1860.0,1896.9,626167.5832,1197329354.058415,2245087,307332.2769,587606938.5845151,Ethereum
2025-03-29,84424.38,84624.73,81644.81,82648.54,11696.39864,970199917.9868716,2172387,5621.60485,466215575.48490685,Bitcoin
2025-03-29,1896.9,1913.6,1797.2,1828.08,409769.7555,758545295.8717791,1755638,199201.1398,368752720.356886,Ethereum
2025-03-30,82648.53,83534.64,81565.0,82389.99,9864.49508,816584795.5288126,1907663,4725.07105,391214080.11011606,Bitcoin
2025-03-30,1828.09,1849.01,1767.69,1807.74,327843.4476,595676639.883548,1523210,164123.1476,298224370.054843,Ethereum
2025-03-31,82390.0,83943.08,81278.52,82550.01,20569.13885,1696009191.0809648,3964358,9912.88184,817875871.1107411,Bitcoin
2025-03-31,1807.74,1854.22,1776.75,1822.43,497854.9052,904456573.0104152,2283021,248408.7865,451323627.204578,Ethereum
2025-04-01,82550.0,85579.46,82432.74,85158.34,20190.39697,1698895702.5754683,3328693,10246.42648,862302772.4330863,Bitcoin
2025-04-01,1822.43,1927.9,1817.88,1904.98,452989.0974,851190042.273377,2141608,227293.9134,427068696.66992,Ethereum
2025-04-02,85158.35,88500.0,82320.0,82516.29,39931.457,3417279759.830764,5338238,20739.67809,1777735583.840748,Bitcoin
2025-04-02,1904.98,1957.0,1781.53,1795.22,750840.7823,1411539014.562126,3408080,364479.3767,685797603.6286111,Ethereum
2025-04-03,82516.28,83998.02,81211.24,83213.09,27337.84135,2259299724.8643928,4117486,13951.52792,1153439398.6198013,Bitcoin
2025-04-03,1795.21,1845.26,1750.0,1817.23,508075.018,912214691.840036,2579520,253462.4464,455404696.427552,Ethereum
2025-04-04,83213.09,84720.0,81659.0,83889.87,32915.53976,2739842666.426737,4992586,15896.18779,1323832046.264688,Bitcoin
2025-04-04,1817.23,1835.68,1758.72,1816.87,572734.4702,1030518559.141754,2647730,277397.8197,499272616.79746896,Ethereum
2025-04-05,83889.87,84266.0,82379.95,83537.99,9360.40468,779626577.9013437,1575750,4029.64658,335654613.7277184,Bitcoin
2025-04-05,1816.88,1827.29,1764.39,1806.01,201716.2696,362822603.997079,861593,96425.6245,173484839.307568,Ethereum
2025-04-06,83537.99,83817.63,77153.83,78430.0,27942.71436,2239085051.1529646,3948493,12493.8449,1001459573.494466,Bitcoin
2025-04-06,1806.02,1817.0,1537.5,1580.76,979847.0958,1621420911.803542,3251935,453768.9316,751319408.63196,Ethereum
2025-04-07,78430.0,81243.58,74508.0,79163.24,78387.53089,6084614024.150647,9736596,39075.84274,3034375055.6843963,Bitcoin
2025-04-07,1580.77,1639.0,1411.01,1553.04,2168796.0067,3314200223.327178,5723226,1076060.067,1645270461.504365,Ethereum
2025-04-08,79163.24,80867.99,76239.9,76322.42,35317.32063,2775277777.102461,5512751,15704.73031,1235370767.1153505,Bitcoin
2025-04-08,1553.04,1618.67,1441.3,1473.41,891846.1327,1361139288.977932,3369669,449628.1417,686762120.765776,Ethereum
2025-04-09,76322.42,83588.0,74620.0,82615.22,75488.28772,5980231256.222496,7741252,39491.62958,3137004042.959261,Bitcoin
2025-04-09,1473.41,1689.0,1385.05,1669.51,1968530.9138,2995077137.626647,4723847,990740.8363,1508747907.727771,Ethereum
2025-04-10,82615.22,82753.21,78464.36,79607.3,33284.80718,2690294353.847842,4529545,16339.9191,1321475356.0200849,Bitcoin
2025-04-10,1669.51,1669.85,1471.02,1522.25,911855.3934,1425649915.894919,3007121,454828.2592,711164539.487151,Ethereum
2025-04-11,79607.3,84300.0,78969.58,83423.84,34435.43797,2830363945.1787524,4423157,18019.58367,1482515278.9177043,Bitcoin
2025-04-11,1522.24,1591.47,1504.63,1566.85,578484.3183,901210974.608363,2547292,305707.1748,476514872.298804,Ethereum
2025-04-12,83423.83,85905.0,82792.95,85276.9,18470.74437,1557403252.9267516,2501196,9526.72644,803747272.783468,Bitcoin
2025-04-12,1566.85,1669.59,1546.06,1644.18,501867.9033,813176435.313973,2177800,266899.4092,432987094.823904,Ethereum
2025-04-13,85276.91,86100.0,83034.23,83760.0,24680.04181,2086106375.439256,3275879,11658.67909,986303246.0931836,Bitcoin
2025-04-13,1644.19,1649.75,1562.01,1597.76,580136.6145,931598664.2918552,2597350,281372.538,452135764.61108303,Ethereum
2025-04-14,83760.0,85799.99,83678.0,84591.58,28659.09348,2429132805.0815287,3921522,15196.58929,1288815999.1406171,Bitcoin
2025-04-14,1597.76,1691.5,1595.56,1623.77,645930.1419,1062426756.849636,2975844,332185.1295,546536662.981744,Ethereum
2025-04-15,84591.58,86496.42,83600.0,83643.99,20910.99528,1780972414.3956008,2910533,10439.36072,889895753.1673651,Bitcoin
2025-04-15,1623.78,1661.21,1583.12,1588.78,476178.8915,774210116.7106249,2283302,232389.8503,377978352.55460703,Ethereum
2025-04-16,83643.99,85500.0,83111.64,84030.38,20867.24519,1753910031.2009242,3264730,10456.769,878939829.4848368,Bitcoin
2025-04-16,1588.77,1613.66,1538.07,1577.14,611387.8686,965271509.893183,2645419,311107.7903,491272640.364742,Ethereum
